Game,buy_in,cash_out,profit,start_date_time,end_date_time,game_location,time_paused,tournament,Blinds,participants,end_position,notes,Original Order,game_name,blinds_name,kill_status
Bellagio 20 40,$ 1000.00,$ 2254.00,$ 1254.00,Fri May 06 18:01:00 CDT 2016,Fri May 06 22:01:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,352,Limit Holdem,20/40,none
Belagio  40 80,$ 4000.00,$ 100.00,$ -3900.00,Sat May 07 12:15:00 CDT 2016,Sat May 07 22:15:00 CDT 2016,Bellagio,-,cashgame,40 80,-,-,,353,Limit Holdem,40/80,none
Bellagio 20 40,$ 1100.00,$ 2100.00,$ 1000.00,Sun May 08 00:16:00 CDT 2016,Sun May 08 11:16:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,354,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 1786.00,$ 786.00,Sun May 08 16:01:00 CDT 2016,Mon May 09 00:01:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,355,Limit Holdem,20/40,none
Omaha 8,$ 1000.00,$ 1505.00,$ 505.00,Mon May 09 03:05:00 CDT 2016,Mon May 09 04:05:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,356,Limit Holdem,20/40,none
Omaha 8,$ 1000.00,$ 1200.00,$ 200.00,Mon May 09 13:07:00 CDT 2016,Mon May 09 14:07:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,357,Limit Holdem,20/40,none
Bellagio 20 40,$ 1200.00,$ 1469.00,$ 269.00,Mon May 09 14:30:00 CDT 2016,Mon May 09 14:51:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,358,Limit Holdem,20/40,none
Omaha 8,$ 1469.00,$ 1600.00,$ 131.00,Mon May 09 15:04:00 CDT 2016,Mon May 09 17:20:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,359,Limit Holdem,20/40,none
Bellagio 20 40,$ 1600.00,$ 1601.00,$ 1.00,Mon May 09 17:30:00 CDT 2016,Mon May 09 19:30:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,360,Limit Holdem,20/40,none
bossier 20 40,$ 2000.00,$ 2100.00,$ 100.00,Thu May 19 21:17:00 CDT 2016,Fri May 20 02:00:00 CDT 2016,"Horseshoe, Bossier City",-,cashgame,20/40,-,-,,361,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2551.00,$ 1551.00,Tue May 31 19:13:00 CDT 2016,Wed Jun 01 02:15:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,362,Limit Holdem,20/40,none
Bellagio 20 40,$ 2000.00,$ 2290.00,$ 290.00,Wed Jun 01 18:48:00 CDT 2016,Thu Jun 02 02:48:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,363,Limit Holdem,20/40,none
Bellagio 20 40,$ 2000.00,$ 2450.00,$ 450.00,Thu Jun 02 18:24:00 CDT 2016,Fri Jun 03 08:24:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,364,Limit Holdem,20/40,none
Bellagio 20 40,$ 3000.00,$ 1000.00,$ -2000.00,Fri Jun 03 23:02:00 CDT 2016,Sat Jun 04 11:02:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,365,Limit Holdem,20/40,none
Omaha 8,$ 1000.00,$ 2100.00,$ 1100.00,Wed Jun 29 20:55:00 CDT 2016,Thu Jun 30 00:55:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,366,Limit Holdem,20/40,none
Bellagio 20 40,$ 2100.00,$ 2323.00,$ 223.00,Thu Jun 30 01:00:00 CDT 2016,Thu Jun 30 01:30:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,367,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 1800.00,$ 800.00,Thu Jun 30 20:00:00 CDT 2016,Fri Jul 01 00:00:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,368,Limit Holdem,20/40,none
Omaha 8,$ 1800.00,$ 1553.00,$ -247.00,Fri Jul 01 01:38:00 CDT 2016,Fri Jul 01 04:38:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,369,Limit Holdem,20/40,none
Commerce 20 40,$ 1000.00,$ 1819.00,$ 819.00,Sat Jul 02 00:21:00 CDT 2016,Sat Jul 02 02:21:00 CDT 2016,Commerce ,-,cashgame,20/40,-,-,,370,Limit Holdem,20/40,none
Commerce 20 40,$ 2400.00,$ 0.00,$ -2400.00,Sat Jul 02 23:31:00 CDT 2016,Sun Jul 03 07:32:00 CDT 2016,Commerce ,-,cashgame,20/40,-,-,,371,Limit Holdem,20/40,none
Commerce 20 40,$ 1000.00,$ 2208.00,$ 1208.00,Sun Jul 03 08:37:00 CDT 2016,Tue Jul 05 01:37:00 CDT 2016,Commerce ,-,cashgame,20/40,-,-,,372,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 3056.00,$ 2056.00,Mon Jul 04 06:02:00 CDT 2016,Mon Jul 04 09:02:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,373,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 1055.00,$ 55.00,Mon Jul 04 18:20:00 CDT 2016,Mon Jul 04 18:55:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,374,Limit Holdem,20/40,none
Bellagio 20 40,$ 1055.00,$ 255.00,$ -800.00,Mon Jul 04 19:02:00 CDT 2016,Mon Jul 04 20:02:00 CDT 2016,Bellagio,-,cashgame,20/40,-,-,,375,Limit Holdem,20/40,none
