Game,buy_in,cash_out,profit,start_date_time,end_date_time,game_location,time_paused,tournament,Blinds,participants,end_position,notes,Original Order,game_name,blinds_name,kill_status
Bellagio 20 40,$ 2000.00,$ 3242.00,$ 1242.00,Mon May 18 21:30:00 CDT 2015,Mon May 18 23:50:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,264,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 2714.00,$ 1214.00,Tue May 19 16:30:00 CDT 2015,Tue May 19 23:30:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,265,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 2900.00,$ 1400.00,Wed May 27 20:57:00 CDT 2015,Wed May 27 22:57:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,266,Limit Holdem,20/40,none
Omaha 8,$ 1500.00,$ 0.00,$ -1500.00,Thu May 28 23:45:00 CDT 2015,Fri May 29 06:45:00 CDT 2015,Rio,-,cashgame,20/40,-,-,,267,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 2040.00,$ 540.00,Sat May 30 02:30:00 CDT 2015,Sat May 30 07:30:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,268,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 3081.00,$ 1581.00,Sun May 31 03:02:00 CDT 2015,Sun May 31 07:02:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,269,Limit Holdem,20/40,none
Bellagio 20 40,$ 1000.00,$ 2261.00,$ 1261.00,Sun May 31 18:01:00 CDT 2015,Sun May 31 23:01:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,270,Limit Holdem,20/40,none
Bellagio 20 40,$ 4000.00,$ 0.00,$ -4000.00,Mon Jun 01 21:01:00 CDT 2015,Tue Jun 02 02:01:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,271,Limit Holdem,20/40,none
Bellagio 20 40,$ 1500.00,$ 0.00,$ -1500.00,Tue Jun 02 15:29:00 CDT 2015,Tue Jun 02 17:29:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,272,Limit Holdem,20/40,none
Bellagio 20 40,$ 3500.00,$ 4734.00,$ 1234.00,Wed Jun 03 20:23:00 CDT 2015,Thu Jun 04 04:23:00 CDT 2015,Bellagio,-,cashgame,20/40,-,-,,273,Limit Holdem,20/40,none
